keyword,result,review
,"{'label': 'LABEL_0', 'score': 0.704744279384613}",old phone
,"{'label': 'LABEL_0', 'score': 0.441946804523468}",old eye
,"{'label': 'LABEL_2', 'score': 0.5636595487594604}",loud motorcycles
,"{'label': 'LABEL_0', 'score': 0.9692733287811279}",broken glasses
,"{'label': 'LABEL_0', 'score': 0.8538476824760437}",place was nearly empty
,"{'label': 'LABEL_2', 'score': 0.651782214641571}",old cousin
,"{'label': 'LABEL_0', 'score': 0.9775477647781372}",place was also very dirty
,"{'label': 'LABEL_0', 'score': 0.47152596712112427}",dirty martini
,"{'label': 'LABEL_2', 'score': 0.9873833060264587}",place is great
,"{'label': 'LABEL_0', 'score': 0.9681996703147888}",dirty fingernails
,"{'label': 'LABEL_2', 'score': 0.6635962724685669}",old son
,"{'label': 'LABEL_2', 'score': 0.6114323735237122}",loud music
,"{'label': 'LABEL_2', 'score': 0.40391069650650024}",old bay
,"{'label': 'LABEL_0', 'score': 0.8376372456550598}",table was very lacking
,"{'label': 'LABEL_1', 'score': 0.4579624831676483}",dishes are better
,"{'label': 'LABEL_0', 'score': 0.8982765078544617}",dirty view
,"{'label': 'LABEL_1', 'score': 0.4893849492073059}",place is just very odd
,"{'label': 'LABEL_0', 'score': 0.9023783206939697}",place was very underwhelming
,"{'label': 'LABEL_0', 'score': 0.41375982761383057}",dark brown
,"{'label': 'LABEL_0', 'score': 0.7505936026573181}",place was dead
,"{'label': 'LABEL_0', 'score': 0.9699344635009766}",place is dirty
,"{'label': 'LABEL_0', 'score': 0.8143178820610046}",place was empty
,"{'label': 'LABEL_2', 'score': 0.9687618613243103}",place is good
,"{'label': 'LABEL_2', 'score': 0.8022550344467163}",table was close
,"{'label': 'LABEL_0', 'score': 0.890163242816925}",boring sides
,"{'label': 'LABEL_2', 'score': 0.6317263245582581}",old school
,"{'label': 'LABEL_1', 'score': 0.6423793435096741}",interior is weird
,"{'label': 'LABEL_2', 'score': 0.6376731395721436}",old country
,"{'label': 'LABEL_2', 'score': 0.6246968507766724}",old lady
,"{'label': 'LABEL_2', 'score': 0.9589934349060059}",place is new
,"{'label': 'LABEL_2', 'score': 0.9898784160614014}",music is so incredibly loud
,"{'label': 'LABEL_0', 'score': 0.4978407025337219}",old building
,"{'label': 'LABEL_0', 'score': 0.665960967540741}",old rice
,"{'label': 'LABEL_0', 'score': 0.6631112098693848}",old oil
,"{'label': 'LABEL_0', 'score': 0.396930992603302}",old tags
,"{'label': 'LABEL_0', 'score': 0.9050450325012207}",old breadcrumbs
,"{'label': 'LABEL_2', 'score': 0.8307991623878479}",place is pretty
,"{'label': 'LABEL_2', 'score': 0.581990122795105}",old folks
,"{'label': 'LABEL_0', 'score': 0.5190219283103943}",crowded freezing
,"{'label': 'LABEL_0', 'score': 0.8266826868057251}",old poisoning
,"{'label': 'LABEL_0', 'score': 0.9795256853103638}",place was very dirty
,"{'label': 'LABEL_0', 'score': 0.50665283203125}",really old oil
,"{'label': 'LABEL_0', 'score': 0.9726293087005615}",place is just horrible
,"{'label': 'LABEL_0', 'score': 0.7215165495872498}",place was disappointing
,"{'label': 'LABEL_2', 'score': 0.3776613473892212}",place is so small
,"{'label': 'LABEL_0', 'score': 0.7951885461807251}",old staff
,"{'label': 'LABEL_0', 'score': 0.9772326350212097}",table was filthy
,"{'label': 'LABEL_2', 'score': 0.45580703020095825}",place is small
,"{'label': 'LABEL_2', 'score': 0.7794777154922485}",old times
,"{'label': 'LABEL_1', 'score': 0.6215023994445801}",place is also somewhat stuffy
,"{'label': 'LABEL_2', 'score': 0.7144880294799805}",old nephew
,"{'label': 'LABEL_0', 'score': 0.5389382839202881}",table was slightly bitter
,"{'label': 'LABEL_2', 'score': 0.9671015739440918}",place is literary
,"{'label': 'LABEL_2', 'score': 0.9829015731811523}",place is full
,"{'label': 'LABEL_0', 'score': 0.8648091554641724}",place is shitty
,"{'label': 'LABEL_2', 'score': 0.9576425552368164}",people are nice
,"{'label': 'LABEL_0', 'score': 0.47104719281196594}",old fool
,"{'label': 'LABEL_2', 'score': 0.9394410252571106}",dishes are good
,"{'label': 'LABEL_0', 'score': 0.9567121267318726}",dirty place
,"{'label': 'LABEL_0', 'score': 0.4448443651199341}",old leftovers
,"{'label': 'LABEL_2', 'score': 0.5033351182937622}",loud environment
,"{'label': 'LABEL_0', 'score': 0.9805148839950562}",dirty dishes
,"{'label': 'LABEL_0', 'score': 0.9805148839950562}",dirty dishes
,"{'label': 'LABEL_2', 'score': 0.8285720944404602}",place is basic
,"{'label': 'LABEL_0', 'score': 0.8143178820610046}",place was empty
,"{'label': 'LABEL_0', 'score': 0.9766198396682739}",dirty water
,"{'label': 'LABEL_0', 'score': 0.6774699687957764}",old dish
,"{'label': 'LABEL_0', 'score': 0.8143178820610046}",place was empty
,"{'label': 'LABEL_2', 'score': 0.4799841344356537}",old coupon
,"{'label': 'LABEL_0', 'score': 0.9726653099060059}",people are dirty
,"{'label': 'LABEL_0', 'score': 0.9710866808891296}",dirty plates
,"{'label': 'LABEL_0', 'score': 0.7556014657020569}",place was half empty
,"{'label': 'LABEL_0', 'score': 0.9468843936920166}",dirty tables
,"{'label': 'LABEL_0', 'score': 0.7868989706039429}",table was empty
,"{'label': 'LABEL_0', 'score': 0.973719596862793}",place is horrible
,"{'label': 'LABEL_0', 'score': 0.9820600748062134}",plates were dirty
,"{'label': 'LABEL_0', 'score': 0.9752609729766846}",dirty windows
,"{'label': 'LABEL_2', 'score': 0.4569140672683716}",loud chaos
,"{'label': 'LABEL_1', 'score': 0.5471645593643188}",place is pretty expensive
